gamma,model,sigma0,alpha_c,n,eta0
1e-06,stress,0.00033477158710886335,17.27611209453606,2.868204529952492,
1e-05,stress,0.0004221279889525235,29.460716576182392,1.9638572521708964,
0.0001,stress,0.0006224325779936736,84.71825795999906,1.4807191815567675,
0.001,stress,0.001168366487666092,453.64755337290745,1.127894195563089,
0.01,stress,0.005251704833612092,287.04077161959685,0.010769978854791739,
1e-06,viscosity,,17.27963599155335,2.869718710899116,334.741415127621
1e-05,viscosity,,29.46140751884551,1.9639455041221412,42.21239918435464
0.0001,viscosity,,84.71854585389467,1.48075268544337,6.224305489798555
0.001,viscosity,,453.65307157810184,1.1278821568229365,1.1683671252067511
0.01,viscosity,,167934204353.2388,0.012384411684276979,0.46705829251493086
