phi,number_ratio,Pe,yield_stress
0.66,0.0,0,0.00030208542716720396
0.66,0.0,2,0.00037152766897054706
0.66,0.0,4,0.0003287362625230733
0.66,0.0,6,0.00033248984315743286
0.66,0.0,8,0.0003123875620750824
0.66,0.0,10,0.0003265732490921346
0.66,0.0,12,0.0003085072405054159
0.66,0.0,14,0.0003429227466578855
0.66,0.0,16,0.0003000960982618807
0.66,0.0,18,0.00034043269976915765
0.66,0.0,20,0.00032490937841798127
0.66,0.05,0,0.0003461540512330114
0.66,0.05,2,0.00031862412132198446
0.66,0.05,4,0.00035468356874418153
0.66,0.05,6,0.0003080030986305773
0.66,0.05,8,0.00029858277563313024
0.66,0.05,10,0.00027981628638574146
0.66,0.05,12,0.0002699386296348082
0.66,0.05,14,0.0002140770131499594
0.66,0.05,16,0.00018075284511752306
0.66,0.05,18,0.0001403361296455769
0.66,0.05,20,1e-06
0.66,0.1,0,0.00033580574252581514
0.66,0.1,2,0.0003420490158522348
0.66,0.1,4,0.0003194614583572624
0.66,0.1,6,0.00026752582509501755
0.66,0.1,8,0.00028119119472808064
0.66,0.1,10,0.0002233050397138257
0.66,0.1,12,0.00016401539854765193
0.66,0.1,14,8.980229027035428e-05
0.66,0.1,16,1e-06
0.66,0.1,18,1e-06
0.66,0.1,20,1e-06
0.66,0.15,0,0.0003285280524494765
0.66,0.15,2,0.00033886749272815897
0.66,0.15,4,0.0003106518802757184
0.66,0.15,6,0.0003021114093931583
0.66,0.15,8,0.00022924435827830698
0.66,0.15,10,0.0001821351434646613
0.66,0.15,12,7.523146311431396e-05
0.66,0.15,14,1e-06
0.66,0.15,16,1e-06
0.66,0.15,18,1e-06
0.66,0.15,20,1e-06
0.66,0.2,0,0.00030502013932150754
0.66,0.2,2,0.00030673098875996086
0.66,0.2,4,0.00028942707413774
0.66,0.2,6,0.00025577741681617354
0.66,0.2,8,0.0001641535335537268
0.66,0.2,10,0.00011353961342400576
0.66,0.2,12,1e-06
0.66,0.2,14,1e-06
0.66,0.2,16,1e-06
0.66,0.2,18,1e-06
0.66,0.2,20,1e-06
0.66,0.25,0,0.0003040148865370103
0.66,0.25,2,0.0003130688001043707
0.66,0.25,4,0.00028333176401335004
0.66,0.25,6,0.00024046992473598125
0.66,0.25,8,0.000180256212247908
0.66,0.25,10,3.2979757064218665e-05
0.66,0.25,12,1e-06
0.66,0.25,14,1e-06
0.66,0.25,16,1e-06
0.66,0.25,18,1e-06
0.66,0.25,20,1e-06
0.66,0.3,0,0.000321544675751516
0.66,0.3,2,0.00030229022467716113
0.66,0.3,4,0.0002651278240203438
0.66,0.3,6,0.00023751067298235636
0.66,0.3,8,0.00011865845166539915
0.66,0.3,10,1e-06
0.66,0.3,12,1e-06
0.66,0.3,14,1e-06
0.66,0.3,16,1e-06
0.66,0.3,18,1e-06
0.66,0.3,20,1e-06
0.66,0.35,0,0.0003361700199733785
0.66,0.35,2,0.00032851936546126985
0.66,0.35,4,0.00025831662947613823
0.66,0.35,6,0.00018209284786985748
0.66,0.35,8,0.00010328613352058352
0.66,0.35,10,1e-06
0.66,0.35,12,1e-06
0.66,0.35,14,1e-06
0.66,0.35,16,1e-06
0.66,0.35,18,1e-06
0.66,0.35,20,1e-06
0.66,0.4,0,0.00031538078539497343
0.66,0.4,2,0.0003000468547377793
0.66,0.4,4,0.00028176606032417613
0.66,0.4,6,0.00016114804336088707
0.66,0.4,8,1e-06
0.66,0.4,10,1e-06
0.66,0.4,12,1e-06
0.66,0.4,14,1e-06
0.66,0.4,16,1e-06
0.66,0.4,18,1e-06
0.66,0.4,20,1e-06
0.66,0.45,0,0.0003318342562675766
0.66,0.45,2,0.0002960986955477636
0.66,0.45,4,0.00023958257210088556
0.66,0.45,6,0.00015379847738390077
0.66,0.45,8,1e-06
0.66,0.45,10,1e-06
0.66,0.45,12,1e-06
0.66,0.45,14,1e-06
0.66,0.45,16,1e-06
0.66,0.45,18,1e-06
0.66,0.45,20,1e-06
0.66,0.5,0,0.000349840730081374
0.66,0.5,2,0.0002903385226170642
0.66,0.5,4,0.0002481010441909108
0.66,0.5,6,0.00013188310988537625
0.66,0.5,8,1e-06
0.66,0.5,10,1e-06
0.66,0.5,12,1e-06
0.66,0.5,14,1e-06
0.66,0.5,16,1e-06
0.66,0.5,18,1e-06
0.66,0.5,20,1e-06
